Model,Pipeline,Train_score,Test_score,Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,DataTime
"Lasso(alpha=0.0, max_iter=1750, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1750, random_state=1,
                       selection='random', warm_start=True))])",0.864651223,0.859149981,0,1750,random,CYCLE1,,,,,,,12:30.6
"Lasso(alpha=0.0, max_iter=1800, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1800, random_state=1,
                       warm_start=True))])",0.862885226,0.857517016,0,1800,cyclic,CYCLE1,,,,,,,12:30.7
"Lasso(alpha=0.0, max_iter=1800, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1800, random_state=1,
                       selection='random', warm_start=True))])",0.8646799,0.859108135,0,1800,random,CYCLE1,,,,,,,12:30.9
"Lasso(alpha=0.0, max_iter=1850, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1850, random_state=1,
                       warm_start=True))])",0.862901622,0.857490541,0,1850,cyclic,CYCLE1,,,,,,,12:31.0
"Lasso(alpha=0.0, max_iter=1850, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1850, random_state=1,
                       selection='random', warm_start=True))])",0.864711556,0.859128719,0,1850,random,CYCLE1,,,,,,,12:31.1
"Lasso(alpha=0.0, max_iter=1900, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1900, random_state=1,
                       warm_start=True))])",0.862917978,0.857465227,0,1900,cyclic,CYCLE1,,,,,,,12:31.3
"Lasso(alpha=0.0, max_iter=1900, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1900, random_state=1,
                       selection='random', warm_start=True))])",0.864740901,0.859112619,0,1900,random,CYCLE1,,,,,,,12:31.4
"Lasso(alpha=0.0, max_iter=1950, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1950, random_state=1,
                       warm_start=True))])",0.862934311,0.857441087,0,1950,cyclic,CYCLE1,,,,,,,12:31.6
"Lasso(alpha=0.0, max_iter=1950, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=1950, random_state=1,
                       selection='random', warm_start=True))])",0.864768247,0.859119287,0,1950,random,CYCLE1,,,,,,,12:31.7
"Lasso(alpha=0.0, max_iter=2000, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2000, random_state=1,
                       warm_start=True))])",0.862950634,0.857418125,0,2000,cyclic,CYCLE1,,,,,,,12:31.9
"Lasso(alpha=0.0, max_iter=2000, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2000, random_state=1,
                       selection='random', warm_start=True))])",0.864796111,0.859096485,0,2000,random,CYCLE1,,,,,,,12:32.0
"Lasso(alpha=0.0, max_iter=2050, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2050, random_state=1,
                       warm_start=True))])",0.862966957,0.857396337,0,2050,cyclic,CYCLE1,,,,,,,12:32.2
"Lasso(alpha=0.0, max_iter=2050, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2050, random_state=1,
                       selection='random', warm_start=True))])",0.864823449,0.859119836,0,2050,random,CYCLE1,,,,,,,12:32.3
"Lasso(alpha=0.0, max_iter=2100, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2100, random_state=1,
                       warm_start=True))])",0.862983289,0.857375714,0,2100,cyclic,CYCLE1,,,,,,,12:32.5
"Lasso(alpha=0.0, max_iter=2100, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2100, random_state=1,
                       selection='random', warm_start=True))])",0.864851763,0.8591191,0,2100,random,CYCLE1,,,,,,,12:32.6
"Lasso(alpha=0.0, max_iter=2150, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2150, random_state=1,
                       warm_start=True))])",0.862999635,0.857356242,0,2150,cyclic,CYCLE1,,,,,,,12:32.8
"Lasso(alpha=0.0, max_iter=2150, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2150, random_state=1,
                       selection='random', warm_start=True))])",0.864877972,0.859144814,0,2150,random,CYCLE1,,,,,,,12:32.9
"Lasso(alpha=0.0, max_iter=2200, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2200, random_state=1,
                       warm_start=True))])",0.863016,0.857337903,0,2200,cyclic,CYCLE1,,,,,,,12:33.1
"Lasso(alpha=0.0, max_iter=2200, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2200, random_state=1,
                       selection='random', warm_start=True))])",0.864904103,0.859152196,0,2200,random,CYCLE1,,,,,,,12:33.3
"Lasso(alpha=0.0, max_iter=2250, random_state=1, warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2250, random_state=1,
                       warm_start=True))])",0.863032386,0.857320673,0,2250,cyclic,CYCLE1,,,,,,,12:33.4
"Lasso(alpha=0.0, max_iter=2250, random_state=1, selection='random',
      warm_start=True)","Pipeline(steps=[('sc', StandardScaler()),
                ('model',
                 Lasso(alpha=0.0, max_iter=2250, random_state=1,
                       selection='random', warm_start=True))])",0.864929237,0.859164299,0,2250,random,CYCLE1,,,,,,,12:33.6
